query_path	field_expected	value_expected
specimen/query/?collectionType=testset_specimen_panthera	totalSize	42
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	19
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	18
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	17
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22kindOfUnit%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22skull%22%2C%22skin%22%2C%22egg%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	16
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22preparationType%22%2C%20%22operator%22%20%3A%20%22NOT_IN%22%2C%20%22value%22%20%3A%20%5B%22mummy%22%2C%22hologram%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22kindOfUnit%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22skull%22%2C%22skin%22%2C%22egg%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	15
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22identifications.scientificName.genusOrMonomial%22%2C%20%22operator%22%20%3A%20%22CONTAINS%22%2C%20%22value%22%20%3A%20%22anther%22%20%7D%2C%7B%20%22field%22%20%3A%20%22preparationType%22%2C%20%22operator%22%20%3A%20%22NOT_IN%22%2C%20%22value%22%20%3A%20%5B%22mummy%22%2C%22hologram%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22kindOfUnit%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22skull%22%2C%22skin%22%2C%22egg%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	14
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22gatheringEvent.localityText%22%2C%20%22operator%22%20%3A%20%22NOT_CONTAINS%22%2C%20%22value%22%20%3A%20%22oxford%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.genusOrMonomial%22%2C%20%22operator%22%20%3A%20%22CONTAINS%22%2C%20%22value%22%20%3A%20%22anther%22%20%7D%2C%7B%20%22field%22%20%3A%20%22preparationType%22%2C%20%22operator%22%20%3A%20%22NOT_IN%22%2C%20%22value%22%20%3A%20%5B%22mummy%22%2C%22hologram%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22kindOfUnit%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22skull%22%2C%22skin%22%2C%22egg%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	13
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22notes%22%2C%20%22operator%22%20%3A%20%22MATCHES%22%2C%20%22value%22%20%3A%20%22interesting%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.localityText%22%2C%20%22operator%22%20%3A%20%22NOT_CONTAINS%22%2C%20%22value%22%20%3A%20%22oxford%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.genusOrMonomial%22%2C%20%22operator%22%20%3A%20%22CONTAINS%22%2C%20%22value%22%20%3A%20%22anther%22%20%7D%2C%7B%20%22field%22%20%3A%20%22preparationType%22%2C%20%22operator%22%20%3A%20%22NOT_IN%22%2C%20%22value%22%20%3A%20%5B%22mummy%22%2C%22hologram%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22kindOfUnit%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22skull%22%2C%22skin%22%2C%22egg%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.country%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22Malaysia%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.island%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%22dammaR%22%20%7D%2C%7B%20%22field%22%20%3A%20%22identifications.scientificName.fullScientificName%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22Panthera%20tigris%20sumatrae%20%28Pocock%2C%201929%29%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-000%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	12
specimen/query/?_querySpec=%7B%20%22conditions%22%20%3A%20%5B%20%7B%20%22field%22%20%3A%20%22numberOfSpecimen%22%2C%20%22operator%22%20%3A%20%22EQUALS_IC%22%2C%20%22value%22%20%3A%20%2211%22%20%7D%2C%7B%20%22field%22%20%3A%20%22numberOfSpecimen%22%2C%20%22operator%22%20%3A%20%22NOT_IN%22%2C%20%22value%22%20%3A%20%5B%2223%22%2C%2221%22%2C%2219%22%2C%2277%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22numberOfSpecimen%22%2C%20%22operator%22%20%3A%20%22LTE%22%2C%20%22value%22%20%3A%2019%20%7D%2C%7B%20%22field%22%20%3A%20%22numberOfSpecimen%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22-1%22%2C%2221%22%2C%2219%22%2C%2213%22%2C%22-11%22%2C%2211%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22numberOfSpecimen%22%2C%20%22operator%22%20%3A%20%22LT%22%2C%20%22value%22%20%3A%2024%20%7D%2C%7B%20%22field%22%20%3A%20%22multiMediaPublic%22%2C%20%22operator%22%20%3A%20%22NOT_EQUALS_IC%22%2C%20%22value%22%20%3A%20%22false%22%20%7D%2C%7B%20%22field%22%20%3A%20%22objectPublic%22%2C%20%22operator%22%20%3A%20%22IN%22%2C%20%22value%22%20%3A%20%5B%22false%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22fromCaptivity%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22true%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.dateTimeBegin%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%221977-07-02T00%3A00%3A00%2B0000%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.dateTimeBegin%22%2C%20%22operator%22%20%3A%20%22NOT_BETWEEN%22%2C%20%22value%22%20%3A%20%5B%221810-05-05T00%3A00%3A00%2B0000%22%2C%221933-05-05T00%3A00%3A00%2B0000%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.dateTimeBegin%22%2C%20%22operator%22%20%3A%20%22GTE%22%2C%20%22value%22%20%3A%20%221923-11-11T00%3A00%3A00%2B0000%22%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.dateTimeBegin%22%2C%20%22operator%22%20%3A%20%22BETWEEN%22%2C%20%22value%22%20%3A%20%5B%221915-05-05T00%3A00%3A00%2B0000%22%2C%221985-05-05T00%3A00%3A00%2B0000%22%5D%20%7D%2C%7B%20%22field%22%20%3A%20%22gatheringEvent.dateTimeBegin%22%2C%20%22operator%22%20%3A%20%22GT%22%2C%20%22value%22%20%3A%20%221905-05-05T00%3A00%3A00%2B0000%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22collectionType%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22testset_specimen_panthera%22%20%7D%2C%20%7B%20%22field%22%20%3A%20%22sourceID%22%2C%20%22operator%22%20%3A%20%22EQUALS%22%2C%20%22value%22%20%3A%20%22BATCH-001%22%20%7D%20%5D%2C%20%22logicalOperator%22%20%3A%20%22AND%22%2C%20%22sortFields%22%20%3A%20%5B%20%7B%20%22path%22%20%3A%20%22unitID%22%2C%20%22sortOrder%22%3A%20%22asc%22%20%20%7D%20%5D%20%7D%0A	totalSize	11
